Word,ExpectedRate,avg
blatantly,2.255421264,2.255421264
bleached,1.499150184,1.499150184
bleak,3.296242296,3.296242296
blended,3.606573071,3.606573071
blessedly,4.585657438,4.585657438
blighted,3.350719146,3.350719146
blind,3.44068769,3.44068769
blindly,3.797608919,3.797608919
blissful,4.937799059,4.937799059
blissfully,4.328422985,4.328422985
blithely,4,4
blond,3.006022074,3.006022074
blonde,2.82178819,2.82178819
blooded,5,5
bloodless,5,5
bloody,3.151231287,3.151231287
blooming,2,2
blotchy,4,4
blown-up,3,3
blowy,5,5
blue-collar,3.27743112,3.27743112
blue,3.016331815,3.016331815
blueish,2.486976142,2.486976142
blunt,1.711010827,1.711010827
bluntly,1.432946449,1.432946449
blurry,2.229538678,2.229538678
blustery,3.547286826,3.547286826
boastful,4,4
bodied,2.463632044,2.463632044
body and soul,4,4
bogus,1.536516242,1.536516242
bohemian,4.330510192,4.330510192
boisterous,3.119427596,3.119427596
boisterously,3.12565435,3.12565435
bold,3.479542424,3.479542424
boldly,4.435826928,4.435826928
bolivian,4.485148584,4.485148584
bombastic,2,2
bona fide,4.171821729,4.171821729
bone dry,2.496220123,2.496220123
bone-dry,2,2
boneless,3.213295831,3.213295831
boney,2.37337366,2.37337366
bony,2.730204884,2.730204884
bookable,4,4
booming,2.314913589,2.314913589
boorish,1.727154812,1.727154812
boozy,3.082614258,3.082614258
borderline,2.418237758,2.418237758
bored,2.377506385,2.377506385
boring,2.23900615,2.23900615
boringly,2.667317193,2.667317193
bossy,3.350719146,3.350719146
botanic,4,4
botanical,3.511014876,3.511014876
botched,2,2
bothersome,3.477903654,3.477903654
bottom,2.533166903,2.533166903
bottomed,4,4
bottomless,3.635179023,3.635179023
bouncy,4.485148584,4.485148584
bounteous,4,4
bountiful,4.401293061,4.401293061
boxed in,2.69392696,2.69392696
boxed,2.13413406,2.13413406
boxy,2.37337366,2.37337366
brackish,4,4
braided,4.485148584,4.485148584
brain dead,3,3
braised,3.618521184,3.618521184
branded,3.350719146,3.350719146
brash,3.253363991,3.253363991
bratty,2.646377168,2.646377168
bravely,5,5
brazilian,2.860177844,2.860177844
breakable,3,3
breathless,1.956406686,1.956406686
breathtaking,4.318583325,4.318583325
breezily,5,5
breezy,2.916029698,2.916029698
bridal,3.091697335,3.091697335
brief,3.144543178,3.144543178
briefly,2.75424744,2.75424744
bright blue,5,5
bright-red,5,5
bright,2.76762485,2.76762485
brightly,2.869834798,2.869834798
brilliant,4.043345615,4.043345615
brilliantly,4.264738119,4.264738119
briny,3.111402889,3.111402889
brisk,3.088135562,3.088135562
briskly,3.350719146,3.350719146
british,2.931469969,2.931469969
brittle,2.942441826,2.942441826
broad,3.618656464,3.618656464
broadly,3.71381068,3.71381068
broiled,3.211944461,3.211944461
broken in,3.169280601,3.169280601
broken,2.481735326,2.481735326
brooding,3,3
brown-haired,3,3
brown,2.472467597,2.472467597
browned,3.504446935,3.504446935
brownish,3.674620964,3.674620964
brusk,3.212649741,3.212649741
brusque,2.248363759,2.248363759
brusquely,3.177676359,3.177676359
brutal,2.047448238,2.047448238
