Word,ExpectedRate,avg
beat,3.911726269,3.911726269
beaten,3.355764164,3.355764164
beatific,2.394258351,2.394258351
beauteous,3.541234481,3.541234481
beautiful,3.529345962,3.529345962
beautifully,3.777107516,3.777107516
bedraggled,3,3
bedridden,1.823538297,1.823538297
beefy,5,5
befitting,2.971828167,2.971828167
befittingly,4,4
before christ,3.415940967,3.415940967
before long,3.29767965,3.29767965
before,3.066710521,3.066710521
beforehand,3.115030372,3.115030372
begotten,3.541234481,3.541234481
behavioral,3.549773808,3.549773808
beheaded,4.173270507,4.173270507
behind-the-scenes,2.765456731,2.765456731
behind,3.023115293,3.023115293
beholden,3.837956381,3.837956381
beige,1.668502573,1.668502573
belated,3.702412472,3.702412472
belatedly,3.110458155,3.110458155
belgian,3.753458102,3.753458102
believable,2.950022857,2.950022857
believably,2.999467235,2.999467235
belittled,2,2
belittling,1,1
bell-bottomed,3,3
belletristic,1,1
bellicose,5,5
belligerent,4,4
belligerently,4,4
beloved,2.848784274,2.848784274
below the belt,3,3
below,2.787865575,2.787865575
bemused,3.035955316,3.035955316
bendable,1.753996714,1.753996714
benedictine,2.369858443,2.369858443
beneficent,2.565545619,2.565545619
beneficial,2.545885373,2.545885373
benevolent,3.011702728,3.011702728
benevolently,4.239183994,4.239183994
benighted,3.312963962,3.312963962
benign,2.388924278,2.388924278
benignly,1,1
bent on,2.65730846,2.65730846
bent,2.781868881,2.781868881
bereaved,3,3
bereft,3.036203948,3.036203948
besotted,2.076162334,2.076162334
bespectacled,5,5
best of all,4.121515162,4.121515162
best-known,2.275125336,2.275125336
best-loved,4.653531998,4.653531998
best-selling,2.497793692,2.497793692
best,3.50873695,3.49741105
bestial,4.456031566,4.456031566
beta,2.583542611,2.583542611
betrothed,4.386034674,4.386034674
better off,2.287166066,2.287166066
better-known,5,5
better,2.878483609,2.843183639
bewildered,2.017595947,2.017595947
bewilderingly,2.918209068,2.918209068
bewitching,5,5
beyond a doubt,5,5
beyond a shadow of a doubt,2.187366277,2.187366277
beyond doubt,3.541234481,3.541234481
beyond measure,2.607696702,2.607696702
biblical,3.541474651,3.541474651
bibliographical,1,1
big,2.66443562,2.66443562
