Word,Rating,Category,Count,Total,Corpus
absolutely/r,4,0.25,1068,10187257,Goodreads
absolutely/r,5,0.5,4066,16202230,Goodreads
absolutist/a,1,-0.5,0,3419923,Goodreads
absolutist/a,2,-0.25,0,3912625,Goodreads
absolutist/a,3,0,1,6011388,Goodreads
absolutist/a,4,0.25,1,10187257,Goodreads
absolutist/a,5,0.5,0,16202230,Goodreads
absolved/a,1,-0.5,1,3419923,Goodreads
absolved/a,2,-0.25,0,3912625,Goodreads
absolved/a,3,0,2,6011388,Goodreads
absolved/a,4,0.25,0,10187257,Goodreads
absolved/a,5,0.5,0,16202230,Goodreads
absorbent/a,1,-0.5,1,3419923,Goodreads
absorbent/a,2,-0.25,0,3912625,Goodreads
absorbent/a,3,0,0,6011388,Goodreads
absorbent/a,4,0.25,0,10187257,Goodreads
absorbent/a,5,0.5,0,16202230,Goodreads
absorbing/a,1,-0.5,1,3419923,Goodreads
absorbing/a,2,-0.25,8,3912625,Goodreads
absorbing/a,3,0,27,6011388,Goodreads
absorbing/a,4,0.25,42,10187257,Goodreads
absorbing/a,5,0.5,39,16202230,Goodreads
abstinent/a,1,-0.5,2,3419923,Goodreads
abstinent/a,2,-0.25,0,3912625,Goodreads
abstinent/a,3,0,1,6011388,Goodreads
abstinent/a,4,0.25,2,10187257,Goodreads
abstinent/a,5,0.5,0,16202230,Goodreads
abstract/a,1,-0.5,17,3419923,Goodreads
abstract/a,2,-0.25,13,3912625,Goodreads
abstract/a,3,0,32,6011388,Goodreads
abstract/a,4,0.25,48,10187257,Goodreads
abstract/a,5,0.5,49,16202230,Goodreads
abstracted/a,1,-0.5,0,3419923,Goodreads
